tests,version,chain_strength,running_time,optimality_gap,0no,3no,time_to_solution
4,50_4,36.388123690960775,24.610043048858643,0.0,0.19,0.793,458.94125186243963
6,50_4,44.992382624446314,34.83466911315918,0.0,0.116,0.9,784.3469011388407
8,50_4,66.93416719646596,41.53366184234619,0.0,0.2,0.77,433.39174865767916
10,50_4,66.20910136381441,54.96909499168396,0.0,0.621,0.852,99.67704872780767
12,50_4,87.94860054499887,51.4067223072052,0.0,0.044,0.752,2149.2052235815954
4,GAC,4.41085309209001,17.849278926849365,0.0,0.011,0.095,8743.245109411473
6,GAC,20.620620747203514,39.51643466949463,0.0,0.005,0.246,19293.320097899723
8,GAC,40.54331017566277,22.172722816467285,0.0,0.006,0.059,16069.692864102015
10,GAC,37.78806028363986,25.961933851242065,0.0,0.213,0.34,403.74805999030565
12,GAC,39.46794585483263,41.10419797897339,0.0,0.001,0.288,96660.21155571705
4,dwave,43.18259695062352,0,0.0,0.127,0.708,712.0363056863245
6,dwave,54.75211769968354,0,0.0,0.073,0.851,1275.8098669175645
8,dwave,76.12916120121119,0,0.0,0.056,0.436,1678.1201227215422
10,dwave,87.1355630050096,0,0.0,0.324,0.556,246.98138170596874
12,dwave,91.17997848979786,0,0.0,0.02,0.343,4786.911594857674
4,100_4,32.470514041850116,43.04298210144043,0.0,0.194,0.824,448.40675541221435
6,100_4,46.721980847232935,45.69040536880493,0.0,0.171,0.911,515.6824594881264
8,100_4,71.12953051052443,81.78282856941223,0.0,0.06,0.495,1562.9566531212772
10,100_4,93.47669329946181,96.97477149963379,0.0,0.385,0.521,198.93438972983716
12,100_4,59.573317768613535,81.44389176368713,0.0,0.226,0.603,377.4974173585372
4,200_4,33.21901288792655,60.328479290008545,0.0,0.227,0.828,375.60194879928974
6,200_4,38.50872634444446,64.17046642303467,0.0,0.156,0.88,570.2062867408335
8,200_4,69.00079477005883,105.63504219055176,0.0,0.12,0.683,756.5205608167174
10,200_4,44.97090437086172,162.55324792861938,0.0,0.646,0.731,93.1270593855194
12,200_4,115.49992509918235,102.20048642158508,0.0,0.029,0.479,3286.1869588206923